state,SA3_code,SA3_name,year_start,year_close,age,num_registered,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised,Remoteness ,State,Latitude,Longitude
VIC,21103,Maroondah,2016,2017,1,1595,1510,85,94.7,Major Cities of Australia,Victoria,-37.80475965,145.2654447
VIC,21104,Whitehorse - East,2016,2017,1,695,662,33,95.3,Major Cities of Australia,Victoria,-37.83328957,145.1878723
VIC,21105,Yarra Ranges,2016,2017,1,1902,1783,119,93.7,Major Cities of Australia,Victoria,-37.74711846,145.549728
VIC,21201,Cardinia,2016,2017,1,1699,1604,95,94.4,Major Cities of Australia,Victoria,-38.08308955,145.5727022
VIC,21202,Casey - North,2016,2017,1,1857,1727,130,93,Major Cities of Australia,Victoria,-38.00449703,145.3121188
VIC,21203,Casey - South,2016,2017,1,3088,2914,174,94.4,Major Cities of Australia,Victoria,-38.14397886,145.3077595
VIC,21204,Dandenong,2016,2017,1,2831,2636,195,93.1,Major Cities of Australia,Victoria,-37.998001,145.1797984
VIC,21205,Monash,2016,2017,1,1784,1655,129,92.8,Major Cities of Australia,Victoria,-37.89708578,145.1456353
VIC,21301,Brimbank,2016,2017,1,2841,2640,201,92.9,Major Cities of Australia,Victoria,-37.75188092,144.7970265
VIC,21302,Hobsons Bay,2016,2017,1,1256,1171,85,93.2,Major Cities of Australia,Victoria,-37.85459523,144.83163
VIC,21303,Maribyrnong,2016,2017,1,1263,1176,87,93.1,Major Cities of Australia,Victoria,-37.79526741,144.8777723
VIC,21304,Melton - Bacchus Marsh,2016,2017,1,2538,2379,159,93.7,Major Cities of Australia,Victoria,-37.68286557,144.5715795
VIC,21305,Wyndham,2016,2017,1,4724,4379,345,92.7,Major Cities of Australia,Victoria,-37.88654258,144.6188251
VIC,21401,Frankston,2016,2017,1,2023,1924,99,95.1,Major Cities of Australia,Victoria,-38.13460821,145.1737988
VIC,21402,Mornington Peninsula,2016,2017,1,1622,1516,106,93.5,Major Cities of Australia,Victoria,-38.34168557,145.0353506
VIC,21501,Grampians,2016,2017,1,644,628,16,97.5,Outer Regional Australia,Victoria,-36.55431271,142.1011076
VIC,21502,Mildura,2016,2017,1,714,651,63,91.2,Outer Regional Australia,Victoria,-34.86921286,141.6828621
VIC,21503,Murray River - Swan Hill,2016,2017,1,467,440,27,94.2,Outer Regional Australia,Victoria,-35.6089129,143.2135167
VIC,21601,Campaspe,2016,2017,1,436,412,24,94.5,Inner Regional Australia,Victoria,-36.34514711,144.7194829
VIC,21602,Moira,2016,2017,1,328,311,17,94.8,Inner Regional Australia,Victoria,-36.06188146,145.5503684
VIC,21603,Shepparton,2016,2017,1,879,824,55,93.7,Inner Regional Australia,Victoria,-36.39841549,145.3818208
VIC,21701,Glenelg - Southern Grampians,2016,2017,1,413,377,36,91.3,Outer Regional Australia,Victoria,-37.70001428,141.7204554
VIC,21702,Warrnambool - Otway Ranges,2016,2017,1,1015,980,35,96.6,Inner Regional Australia,Victoria,-38.23697583,143.0156239
QLD,30101,Capalaba,2016,2017,1,888,848,40,95.5,Major Cities of Australia,Queensland,-27.5156779,153.1954591
QLD,30102,Cleveland - Stradbroke,2016,2017,1,897,853,44,95.1,Major Cities of Australia,Queensland,-27.46164179,153.3851875
QLD,30103,Wynnum - Manly,2016,2017,1,1035,980,55,94.7,Major Cities of Australia,Queensland,-27.42844321,153.1653021
QLD,30201,Bald Hills - Everton Park,2016,2017,1,556,537,19,96.6,Major Cities of Australia,Queensland,-27.34462637,153.0051325
QLD,30202,Chermside,2016,2017,1,994,949,45,95.5,Major Cities of Australia,Queensland,-27.38766172,153.0263642
QLD,30203,Nundah,2016,2017,1,551,526,25,95.5,Major Cities of Australia,Queensland,-27.38629597,153.0996051
QLD,30204,Sandgate,2016,2017,1,787,755,32,95.9,Major Cities of Australia,Queensland,-27.324346,153.0466445
QLD,30301,Carindale,2016,2017,1,670,638,32,95.2,Major Cities of Australia,Queensland,-27.49818741,153.0991856
