"postcode","total_tax","num_individuals","mean_tax","year"
2827,80350737,1876,42831,"2015"
2828,14671408,369,39760,"2015"
2829,62281291,1453,42864,"2015"
2830,1126835043,22357,50402,"2015"
2831,66668920,1593,41852,"2015"
2832,38852126,1218,31899,"2015"
2833,8689468,244,35613,"2015"
2834,30001780,863,34765,"2015"
2835,153896104,2258,68156,"2015"
2836,14641672,297,49299,"2015"
2839,19351610,462,41887,"2015"
2840,64460187,1348,47820,"2015"
2842,10135863,281,36071,"2015"
2843,27985008,690,40558,"2015"
2844,30040660,693,43349,"2015"
2845,54257433,999,54312,"2015"
2846,5409879,134,40373,"2015"
2847,56024044,1055,53104,"2015"
2848,23622908,533,44321,"2015"
2849,30979933,776,39923,"2015"
2850,487695152,9208,52965,"2015"
2852,82691565,1663,49725,"2015"
2864,22298626,487,45788,"2015"
2865,21297646,466,45704,"2015"
2866,75413248,1597,47222,"2015"
2867,13445863,325,41372,"2015"
2868,13957879,313,44594,"2015"
2869,27208627,678,40131,"2015"
2870,302902471,6258,48403,"2015"
2871,218802647,4717,46386,"2015"
2873,17932596,376,47694,"2015"
2874,9864342,244,40428,"2015"
2875,19585727,486,40300,"2015"
2876,9269707,246,37682,"2015"
2877,88350256,2003,44109,"2015"
2878,12654005,176,71898,"2015"
2879,13085295,246,53193,"2015"
2880,463712349,8926,51951,"2015"
2898,13594319,293,46397,"2015"
2899,3112698,149,20891,"2015"
2900,73613270,1174,62703,"2015"
2902,578438248,9284,62305,"2015"
2903,360246259,5949,60556,"2015"
2904,571457490,8574,66651,"2015"
2905,1086993571,18039,60258,"2015"
2906,681005002,11021,61792,"2015"
2911,180994868,2724,66445,"2015"
2912,217283422,3703,58678,"2015"
2913,1321628604,20718,63792,"2015"
2914,906680289,13627,66536,"2015"
3000,1030267424,20561,50108,"2015"
3002,405394717,3530,114843,"2015"
3003,187473176,3227,58096,"2015"
3004,613644518,7084,86625,"2015"
3006,812049706,11375,71389,"2015"
3008,477306443,6576,72584,"2015"
3010,5383705,57,94451,"2015"
3011,620420153,12275,50544,"2015"
3012,746667888,14334,52091,"2015"
3013,580652138,8725,66551,"2015"
3015,680595237,10152,67041,"2015"
3016,733802646,9466,77520,"2015"
3018,425213072,7471,56916,"2015"
3019,160156232,3990,40140,"2015"
3020,866931459,20676,41930,"2015"
3021,956060326,24026,39793,"2015"
3022,83831444,1902,44076,"2015"
3023,1554806455,31629,49158,"2015"
3024,554046886,11362,48764,"2015"
3025,292352164,5712,51183,"2015"
3026,10745405,173,62113,"2015"
3027,196023991,3552,55187,"2015"
3028,767302245,15915,48213,"2015"
3029,2218270819,46542,47662,"2015"
3030,2840326790,52501,54101,"2015"
3031,660006298,10744,61431,"2015"
3032,1058016444,17189,61552,"2015"
3033,434505571,7956,54614,"2015"
3034,322957002,6143,52574,"2015"
3036,244827112,3954,61919,"2015"
3037,1326272287,26798,49492,"2015"
3038,855522649,16795,50940,"2015"
3039,614707922,8829,69624,"2015"
3040,1164722652,16520,70504,"2015"
3041,480681712,7545,63709,"2015"
3042,494587445,9046,54675,"2015"
3043,505093972,9887,51087,"2015"
3044,813550092,14592,55754,"2015"
3046,795129042,16911,47019,"2015"
3047,270870733,7202,37611,"2015"
3048,248752738,6617,37593,"2015"
3049,271111206,5297,51183,"2015"
