"postcode","total_tax","num_individuals","mean_tax_000s","year"
3068,862305462,11756,73.351,"2014"
3070,920605369,14487,63.547,"2014"
3071,584783373,10452,55.95,"2014"
3072,868044180,17521,49.544,"2014"
3073,1099025259,24190,45.434,"2014"
3074,380407905,9286,40.966,"2014"
3075,386052440,9428,40.948,"2014"
3076,700834185,15741,44.523,"2014"
3078,472110610,6773,69.705,"2014"
3079,793605564,10030,79.124,"2014"
3081,291280634,6370,45.727,"2014"
3082,798432252,17164,46.518,"2014"
3083,746081798,16153,46.189,"2014"
3084,971521245,15393,63.115,"2014"
3085,448254035,7910,56.67,"2014"
3087,256273903,4972,51.544,"2014"
3088,874133264,16395,53.318,"2014"
3089,415599894,7292,56.994,"2014"
3090,111264150,1476,75.383,"2014"
3091,83307584,1087,76.64,"2014"
3093,179161073,2431,73.699,"2014"
3094,290742795,5381,54.032,"2014"
3095,1124759440,18168,61.909,"2014"
3096,62719901,1145,54.778,"2014"
3097,63457546,935,67.87,"2014"
3099,160849531,2965,54.25,"2014"
3101,1583216913,16065,98.551,"2014"
3102,310720021,4116,75.491,"2014"
3103,837593072,10112,82.832,"2014"
3104,891913767,12969,68.773,"2014"
3105,363631075,6444,56.43,"2014"
3106,747074833,10896,68.565,"2014"
3107,434928358,7922,54.902,"2014"
3108,630041094,12350,51.016,"2014"
3109,850305772,16488,51.572,"2014"
3111,480271052,7453,64.44,"2014"
3113,365299930,5407,67.561,"2014"
